Name,Age,Hometown,Job,Eliminated,season,"Skin (0=white, 1= Black)",Bachelor Age
*Amanda Marsh*,23,"*Chanute, Kansas*",*Event Planner*,11,1,0,31
*Trista Rehn*,29,"Miami, Florida",Miami Heat Dancer,10,1,0,31
Shannon Oliver,24,"Dallas, Texas",Financial Management Consultant,5,1,0,31
Kim,24,"Tempe, Arizona",Nanny,4,1,0,31
Cathy Grimes,22,"Terre Haute, Indiana",Graduate Student,3,1,0,31
Christina Stencil,28,"Bonita, California",Attorney,3,1,0,31
LaNease Adams,23,"Los Angeles, California",Actress,3,1,1,31
Rhonda Rittenhouse,28,"Woodward, Oklahoma",Commercial Real Estate Agent,3,1,0,31
Alexa,27,"Beverly Hills, California",Special Ed. Teacher,2,1,0,31
Amy Anzel,28,"New York, New York",Production Coordinator,2,1,0,31
Angela,25,"Avondale, Arizona",Hooters Waitress,2,1,0,31
Angelique Madrid,27,"Burbank, California",Actress,2,1,0,31
Katie,23,"Malden, Massachusetts",Power Tool Sales Rep.,2,1,0,31
Melissa,25,"Tempe, Arizona",Photographer,2,1,0,31
Tina Chen,27,"Plano, Texas",Graduate Student,2,1,0,31
Amber,29,"Los Angeles, California",Business Development Director,1,1,0,31
Daniela,30,"Seattle, Washington",Neuropsychologist,1,1,0,31
Denise,30,"Honolulu, Hawaii",Doctor,1,1,0,31
Jackie,22,"Pittsburgh, Pennsylvania",Bar Manager,1,1,0,31
Jill,31,"Chicago, Illinois",Retail Manager,1,1,0,31
Kristina Jenkins,27,"Los Angeles, California",Advertising Executive,1,1,1,31
Lisa Gold,29,"Dallas, Texas",Attorney,1,1,0,31
Paula,24,"Swansea, Massachusetts",Insurance Representative,1,1,0,31
Rachel,29,"Eastchester, New York",6th Grade Teacher,1,1,0,31
Wendi Plotnik,26,"Dallas, Texas",Technology Specialist,1,1,0,31
*Helene Eksterowicz*,27,"*Gloucester, New Jersey*",*School Psychologist*,11,2,0,28
Brooke Smith,22,"Albertville, Alabama",College Student,10,2,0,28
Gwen Gioia,31,"Philadelphia, Pennsylvania",Executive Recruiter,6,2,0,28
Angela,27,"Kansas City, Missouri",Registered Nurse,5,2,0,28
Hayley Crittenden,28,"Lake Oswego, Oregon",Retail Manager,4,2,0,28
Heather Cranford,30,"Dallas, Texas",Flight Attendant,4,2,0,28
Christi Weible,23,"Boise, Idaho",Assistant Financial Advisor,3,2,0,28
Heather,24,"Walnut Creek, California",Marriage Therapy Trainee,3,2,0,28
Kyla Dickerson,22,"Midvale, Utah",Airline Supervisor,3,2,0,28
Shannon,26,"Long Island, New York",Graphic Artist,3,2,0,28
Dana Norris,24,"Beverly Hills, California",Radio Sales,2,2,0,28
Erin,25,"West Chester, Pennsylvania",Publications Quality Control,2,2,0,28
Suzanne Freeman,33,"Redondo Beach, California",Flight Attendant,2,2,0,28
Frances Dinglasan,30,"San Francisco, California",Strategic Planning Analyst,2,2,0,28
Anindita Dutta,27,"New York, New York",Attorney,2,2,0,28
Amber West,26,"Chapel Hill, North Carolina",Psychologist,1,2,0,28
Camille Langfield,29,"Los Angeles, California",Actress,1,2,0,28
Cari,29,"Granite City, Illinois",3rd Grade Teacher,1,2,0,28
Christy,24,"Avondale, Arizona",Radiological Technologist,1,2,0,28
Erin,24,"Houston, Texas",Interior Designer,1,2,0,28
Fatima Rivas,22,"Long Beach, California",College Student,1,2,0,28
Liangy Fernandez,30,"Coral Gables, Florida",Paralegal,1,2,0,28
Lori Todd,26,"Dallas, Texas",Former NBA Cheerleader,1,2,1,28
Merrilee Donohue,28,"Forked River, New Jersey",1st Grade Teacher,1,2,0,28
Suzi Reid,28,"Richmond, Virginia",Communications Specialist,1,2,0,28
*Jessica Bowlin*,22,"*Huntington Beach, California*",*Student*,11,5,0,25
Tara Huckeby,23,"Shawnee, Oklahoma",General contractor,7,5,0,25
Mandy Jaye Jeffreys,26,"Midland, Texas",Designer for an architect firm,6,5,0,25
Trish Schneider,28,"Atlanta, Georgia",Model,5,5,0,25
Suzie Williams,23,"Ann Arbor, Michigan",Prosthetic technician,4,5,0,25
Karen Lindsay,28,"Pleasant Grove, Utah",Pharmaceutical sales,4,5,0,25
Jessica Holcomb,25,"Pearsall, Texas",Attorney,3,5,0,25
Julie Durda,24,"Sacramento, California",Professional Cheerleader,3,5,0,25
Jenny De Schiralli,26,"Carrboro, North Carolina",Swim instructor/nanny/personal trainer,3,5,0,25
Katie Gehart,22,"Scottsdale, Arizona",LASIK Eye and Skin Center manager,3,5,0,25
Jean-Marie Callahan,26,"Gibson, North Carolina",Hair stylist,2,5,0,25
Debbie Merkett,27,"Pinetops, North Carolina",Massage therapist/bartender,2,5,0,25
Anne-Catherine Labbé,27,"Quebec City, Quebec",Model/make-up artist,2,5,0,25
Amber LaRoux,27,"Sunriver, Oregon",Consultant,2,5,0,25
Mandy Clemens,25,"San Diego, California",Professional soccer player,2,5,0,25
Kristy Romero,25,"Dearborn, Michigan",Student,2,5,0,25
Celeste Creel,24,"Ithaca, New York",Model/executive assistant,2,5,1,25
Jenny Matthews,24,"Canton, Michigan",Retail manager,2,5,0,25
Dolores Farburg,26,"Madison, New Jersey",Account manager,1,5,0,25
Francine Jones,25,"Houston, Texas",Retail manager,1,5,0,25
DeShaun Warner,25,"Phillipsburg, New Jersey",Account manager/sales,1,5,1,25
Jessica Kyron,21,"Cincinnati, Ohio",Student,1,5,0,25
Holly Reeder,26,"Tulsa, Oklahoma",Bank representative,1,5,0,25
Rachel Clementi,26,"Buffalo, New York",Fashion public relations manager,1,5,0,25
Kristin Clearwater,25,"Sausalito, California",Singer,1,5,0,25
*Jennifer Wilson*,24,"*Pembroke Pines, Florida*",*Teacher*,11,9,0,34
Sadie Murray,23,"Carlsbad, California",Publicist,7,9,0,34
Lisa Blank,25,"Portland, Oregon",Marketing manager,6,9,0,34
Agnese Polliza,24,"Venice, Italy",Student,5,9,0,34
Jeanette Pawula,23,"Bloomingdale, Illinois",Teacher,4,9,0,34
Desiree Valentin,22,"Salt Lake City, Utah",Realtor,4,9,0,34
Jami Matzke,27,"Galveston, Texas",Event planner,3,9,0,34
Gina Clark,28,"Dallas, Texas",Ultrasound technician,3,9,0,34
Erica Rose,23,"Houston, Texas",Socialite,3,9,0,34
Sarah Schnare,30,"Nelson, British Columbia",Journalist,2,9,1,34
"Kimberly ""Kim"" Jackson",27,"Newport Beach, California",Interior designer,2,9,0,34
Ellen DeMaio,30,"New Haven, Connecticut",Realtor,2,9,0,34
Tara Durr,24,"St. Augustine, Florida",Realtor,1,9,0,34
Rosella Fratto,27,"Chicago, Illinois",Make-up artist,1,9,0,34
Rita Ghazal,29,"Richmond, Virginia",Policy advisor,1,9,0,34
Renee Snell,30,"Baltimore, Maryland",Broadcast marketer,1,9,0,34
"Meryl ""Meri"" Barr",27,"Biloxi, Mississippi",Attorney,1,9,0,34
Laura Morgan,29,"San Diego, California",Dolphin trainer,1,9,0,34
Jessica Horner,25,"Charlotte, North Carolina",Assistant buyer,1,9,0,34
Heather Sneed,34,"Aliquippa, Pennsylvania",Registered nurse,1,9,0,34
Elyse Hammer,27,"New York City, New York",Physician,1,9,0,34
Cosetta Blanca,,Italy,Dancer,1,9,0,34
Claudia Gismondi,22,"Boca Raton, Florida",Restaurateur,1,9,0,34
Carissa Ilburg,25,"Cattaraugus, New York",Attorney,1,9,0,34
Britt (Bowe) Newton,28,"Columbus, Ohio",Beer chemist,1,9,0,34
Andrea Shirley,28,"Cincinnati, Ohio",Hotel concierge,1,9,0,34
April Jacobs,23,"Chicago, Illinois",Model,1,9,0,34
*Tessa Horst*,26,"*San Francisco, California*",*Social Worker*,11,10,0,34
Bevin Nicole Powers,28,"Palo Alto, California",Assistant,8,10,0,34
Danielle Imwalle,25,"Bethel, Connecticut",Graphic Designer,7,10,0,34
Amber Alchalabi,23,"Sugar Land, Texas",Teacher,6,10,0,34
Stephanie Wilhite,23,"Overland Park, Kansas",Project Manager,5,10,0,34
Tina Wu,26,"Los Angeles, California",Medical student,5,10,0,34
"Kathryn ""Kate"" Brockhouse",24,"Ravenel, South Carolina",Boutique owner,4,10,0,34
Nicole Clary,26,"Charleston, South Carolina",Sales Manager,4,10,0,34
Stephanie Tipper,27,"Folly Beach, South Carolina",Organ donor coordinator,4,10,0,34
Amanda Hackney,26,"Dallas, Texas",Financial analyst,3,10,0,34
Erin Parker,24,"Logansport, Louisiana",Financial analyst,3,10,0,34
Peyton Wright,24,"Kingsport, Tennessee",Sorority recruiter,3,10,0,34
Alexis Young,26,"Southlake, Texas",Attorney,2,10,0,34
Susan Anderson,23,"The Woodlands, Texas",Boutique manager,2,10,0,34
Tiffany Warren,28,"Boston, Massachusetts",Medical equipment sales rep,2,10,0,34
Blakeney Rowe,29,"Birmingham, Alabama",Radio sales,1,10,0,34
Candice DeCost,23,"Hilton Head Island, South Carolina",Waitress,1,10,0,34
Catherine Warren,23,"Lake Forest, Illinois",Former Miss Illinois,1,10,0,34
Danielle Vallis,26,"Bronx, New York",Attorney,1,10,0,34
"Jacqueline ""Jackie"" Topelli",23,"Minneapolis, Minnesota",Executive coordinator,1,10,0,34
Jeanette Alvarez,27,"Tampa, Florida",Health care manager,1,10,0,34
Jessica Devallo,32,"New York, New York",Hedge fund analyst,1,10,0,34
Linda Malek,33,"Cuyahoga Falls, Ohio",Attorney,1,10,0,34
Lindsay Smith,22,"Lawrence, Kansas",Student,1,10,1,34
Tiffany Forester,27,"St. Louis Park, Minnesota",Real estate sales/development,1,10,0,34
DeAnna Pappas[1],25,"Newnan, Georgia",Realtor,11,11,0,35
Jenni Croft,27,"Wichita, Kansas",Phoenix Suns Cheerleader,10,11,0,35
Bettina Bell[2],27,"Washington, D.C.",Realtor,7,11,0,35
Sheena Stewart[3],23,"Walnut Creek, California",Internet marketing executive,6,11,0,35
Hillary Reisinger[4],27,"Philadelphia, Pennsylvania",Registered nurse,5,11,0,35
Kristy Katzmann[5],29,"Gurnee, Illinois",Acupuncturist,5,11,0,35
McCarten Delaney[6][7],26,"Lemon Grove, California",Account manager,4,11,0,35
"Estefania ""Stephy"" Leon",26,"Atlanta, Georgia",Executive assistant,4,11,0,35
Jade Beazley[8],24,"Nashville, Tennessee",Boutique sales worker,4,11,0,35
Lindsey Hawkins,25,"Livonia, Michigan",Model,3,11,0,35
Sarah Newlon,23,"O'Fallon, Illinois",Bar manager,3,11,0,35
Solisa Shoop[9],25,"Georgetown, Texas",Esthetician,3,11,0,35
Erin Gardner,25,"Tampa, Florida",Publishing sales executive,2,11,0,35
Mallory Simons,24,"Honolulu, Hawaii",Nanny,2,11,0,35
Michele Leavy[10],30,"South Brunswick, New Jersey",Realtor,2,11,0,35
Jessica Kiss,27,"Lady Lake, Florida",News anchor,1,11,0,35
"Julia ""Juli"" Gilliam",24,"Chicago, Illinois",Law student,1,11,0,35
"Kimberly ""Kim"" Orville",31,"Woodbridge, Connecticut",Realtor,1,11,0,35
Lori Langley[11],33,"Annapolis, Maryland",Biology teacher,1,11,0,35
Melissa Buschel[12],28,"Westchester, New York",Event planner,1,11,0,35
Morgan Becker,24,"Tempe, Arizona",Graduate student,1,11,0,35
Natalie Velasco,25,"Duncanville, Texas",Law student,1,11,0,35
Regina Doringa,31,"San Diego, California",Account representative,1,11,1,35
Tauni Nessler [11],31,"St. Louis Park, Minnesota",Emergency room nurse,1,11,0,35
Susan Coolidge,35,"St. Charles, Illinois",Project analyst,1,11,0,35
*Shayne Lamas*[2],22,"*Malibu, California*",*Actress*,11,12,0,36
Chelsea Wanstrath[2],25,"Durango, Colorado",Pharmaceutical sales rep.,10,12,0,36
Amanda Rantuccio[2],27,"Niceville, Florida",Account Executive,7,12,0,36
Noelle Drake[3],26,"Loveland, Colorado",Photographer,6,12,0,36
Marshana Ritchie[4],27,"Brooklyn, New York",Fashion designer,5,12,1,36
Robin Canfield[4],22,"Holland, Michigan",Advertising coordinator,5,12,0,36
Ashlee Williss[5],22,"Jacksonville Beach, Florida",Singer-songwriter,4,12,0,36
Kelly Hark,25,"Hollywood, California",Medical sales representative,4,12,0,36
Holly Durst[6][7],24,"Suffield, Ohio",Children's book author,4,12,0,36
Amy Bean,22,"Stockton, California",Nanny,3,12,0,36
Erin Storm,33,"San Marcos, California",Vendor,3,12,0,36
Kristine Heffelfinger[8],33,"Dillsburg, Pennsylvania",Personal trainer,3,12,0,36
